ネームキー,名前(日本語),名前(英語)
s_42_name,紫宝翼王の聖環,Violet Jewel Wing King Holy Ring
s_43_name,熾炉巨兵の灼鎧,Blazing Furnace Giant Scorch Armor
s_44_name,紅蓮王の焔剣,Crimson Lotus King Flame Sword
s_45_name,氷焔晶の魔杖,Iceflame Crystal Magic Staff
s_46_name,炎魔王の角盾,Flame Demon King Horn Shield
s_47_name,紅蓮核の呪鎖佩,Crimson Lotus Core Curse Chain Pendant
s_48_name,黄金晶獣の脚甲,Golden Crystal Beast Greaves
s_49_name,熾炉巨兵の灼鉄鎧,Blazing Furnace Giant Iron Armor
s_50_name,黒煙石の短剣,Black Smoke Stone Dagger
s_51_name,金壁守護の結界盾,Golden Wall Guardian Barrier Shield
s_52_name,封印城核の鉄兜,Sealed Citadel Core Iron Helm
s_53_name,霜渦晶王の魔杖,Frost Vortex Crystal King Staff
s_54_name,焔王刻印の炎帯,Flame King Engraved Fire Belt
s_55_name,焔竜王の焦冠兜,Flame Dragon King Ash Crown Helm
s_56_name,巨岩砕きの鉄槌,Giant Rock Crusher Iron Hammer
s_57_name,炎翼宝珠の聖佩,Flame Wing Orb Sacred Pendant
s_58_name,骸骨戦士の拳甲,Skeleton Warrior Fist Guards
s_59_name,血骸狩人の毛皮腰布,Blood-Skull Hunter Fur Waistcloth
s_60_name,氷炎刃の霜剣,Iceflame Blade Frost Sword
s_61_name,暗黒幻影の魔帽,Dark Phantom Mage Hat
s_62_name,聖十字の裁鎚,Sacred Cross Judgment Hammer
s_63_name,蒼晶守護の重盾,Azure Crystal Guardian Heavy Shield
s_64_name,緑鋼砲竜の魔導銃,Green Steel Cannon Dragon Magic Gun
s_65_name,聖金十字の護盾,Sacred Golden Cross Shield
s_66_name,熾炎獣王の脚甲,Blazing Flame Beast King Greaves
s_67_name,黄金火蛇の呪環,Golden Fire Serpent Cursed Ring
s_68_name,紅蓮竜王の咆哮兜,Crimson Lotus Dragon King Roar Helm
s_69_name,業火螺旋の魔槍,Hellfire Spiral Magic Spear
s_70_name,焔鎧竜の焦盾,Flame Armor Dragon Scorch Shield
s_71_name,炎鱗獣の裂爪,Flame Scale Beast Rending Claw
s_72_name,炎灯の儀杖,Fire Lantern Ritual Staff
s_73_name,深海探検スライムゴーグル,Deep Sea Explorer Slime Goggles
s_74_name,潮珠姫の貝護符,Tide Pearl Princess Shell Charm
s_75_name,深海鮫牙の短剣,Deep Sea Shark Fang Dagger
s_76_name,蒼海王の怒盾,Azure Sea King Rage Shield
s_77_name,海蛇騎士の波脚甲,Sea Serpent Knight Wave Greaves
s_78_name,三叉蒼潮の槍,Trident of Azure Tide Spear
s_79_name,刺猪王の戦盾,Spiked Boar King War Shield
s_80_name,翠樹精の結界脚,Emerald Tree Spirit Barrier Boots
s_81_name,骨森道化の呪偶,Bone Forest Jester Cursed Doll
s_82_name,蒼嵐狼王の霊兜,Azure Storm Wolf King Spirit Helm
s_83_name,翠炎骸王の呪杖,Emerald Flame Skull King Curse Staff
s_84_name,蒼晶双刃の戦斧,Azure Crystal Twin Blade War Axe
s_85_name,猛毒茸王の魔兜,Venom Mushroom King Magic Helm
s_86_name,黄金星屑の聖壺,Golden Stardust Sacred Urn
s_87_name,彩王のメダル宝杖,Prismatic King Medal Treasure Staff
s_88_name,紅蓮王の炎剣,Crimson Lotus King Flame Sword
s_89_name,金貨王スライムの財宝冠,Gold Coin King Slime Treasure Crown
s_90_name,蒼骸騎士の冥脚,Azure Skull Knight Nether Greaves
s_91_name,翠毒刃の魔曲刀,Emerald Venom Blade Magic Saber
s_92_name,紫黒竜王の魔兜,Violet Black Dragon King Magic Helm
s_93_name,翠炎竜爪の戦手甲,Emerald Flame Dragon Claw Gauntlets
s_94_name,金獣王の灼佩,Golden Beast King Blazing Pendant
s_95_name,焔魔竜王の焦冠,Flame Demon Dragon King Ash Crown
s_96_name,冥骸騎士の影脚,Nether Skull Knight Shadow Greaves
s_97_name,煉獄砕きの焦鉄槌,Inferno Crusher Scorch Iron Hammer
s_98_name,熾核魔獣の戦鎧,Blazing Core Demon Beast War Armor
s_99_name,紅炎炉心の巨槌,Crimson Flame Core Giant Hammer
s_100_name,蒼雷拳王の魔手甲,Azure Thunder Fist King Gauntlets
s_101_name,焔魔将の灼兜,Flame Demon General Scorch Helm
s_102_name,蒼光騎士の聖脚,Azure Light Knight Sacred Greaves
s_103_name,旅人の短剣と革嚢,Traveler’s Dagger and Leather Pouch
s_104_name,鉄壁兵の戦盾,Iron Wall Soldier War Shield
s_105_name,黒角戦士の兜,Black-Horn Warrior Helm
s_106_name,血刃処刑の戦斧,Blood Blade Executioner War Axe
s_107_name,黒鉄騎士の戦鎧,Black Iron Knight War Armor
s_108_name,紅宝獣印の呪佩,Crimson Jewel Beast Seal Pendant
s_109_name,黄金灯火の古ランタン,Golden Flame Ancient Lantern
s_110_name,蜘蛛王の結界盾,Spider King Barrier Shield
s_111_name,坑道探検の灯帽,Mine Explorer Lamp Hood
s_112_name,茸森守りの緑盾,Mushroom Forest Guardian Green Shield
s_113_name,枯木魔導の枝杖,Withered Tree Mage Branch Staff
s_114_name,焔影王の冥鎧,Flame Shadow King Nether Armor
s_115_name,若芽精の森護盾,Young Sprout Spirit Forest Guard Shield
s_116_name,花精姫の芽杖,Flower Spirit Princess Sprout Staff
s_117_name,樹界守護の森鎧,Tree Realm Guardian Forest Armor
s_118_name,樹霊仮面の深面,Tree Spirit Mask Deep Visage
s_119_name,花芽剣の翠刃,Flower Bud Sword Emerald Edge
s_120_name,妖花喰らいの魔鎌,Demonic Flower Devourer Magic Scythe
s_121_name,黒翼紅眼の短剣,Black Wing Crimson Eye Dagger
s_122_name,蒼鱗結界の護盾,Azure Scale Barrier Guard Shield
s_123_name,骸骨狩人の戦鎌,Skeleton Hunter War Scythe
s_124_name,羽葉精の翠衣,Featherleaf Spirit Emerald Garb
s_125_name,雷翼珠の魔杖,Thunder Wing Orb Magic Staff
s_126_name,天翼蒼珠の聖杖,Heaven Wing Azure Orb Sacred Staff
s_127_name,熾陽宝珠の王環,Blazing Sun Orb King Ring
s_128_name,黒紅呪花の魔杖,Black Crimson Curse Flower Staff
s_129_name,黒曜騎士の戦鎧,Obsidian Knight War Armor
s_130_name,焔蛇の炎槍,Flame Serpent Fire Spear
s_131_name,紫怨影王の冥鎧,Violet Grudge Shadow King Nether Armor
s_132_name,蒼雷星盾の結界,Azure Thunder Star Shield Barrier
s_133_name,翠毒霊刃の魔剣,Emerald Venom Spirit Blade Magic Sword
s_134_name,深緑冥王の魔導衣,Deep Green Nether King Mage Robe
s_135_name,紫竜魔王の咆哮兜,Violet Dragon Demon King Roar Helm
s_136_name,煉獄獣爪の戦手甲,Inferno Beast Claw Gauntlets
s_137_name,紫焔魔獣の冥脚,Violet Flame Demon Beast Nether Greaves
s_138_name,蒼雷双竜の咆哮兜,Azure Thunder Twin Dragon Roar Helm
s_139_name,業火喰らいの魔口,Hellfire Devourer Demon Maw
s_140_name,氷姫霊槍の聖杖,Frost Princess Spirit Lance Sacred Staff
s_141_name,焔魔王の焦角兜,Flame Demon King Ash Horn Helm
s_142_name,翠骸呪樹の魔杖,Emerald Skull Curse Tree Magic Staff
s_143_name,氷晶覇王の戦鎧,Ice Crystal Overlord War Armor
s_144_name,翠雷獣王の魔兜,Emerald Thunder Beast King Magic Helm
s_145_name,毒竜魔獣の裂顎盾,Venom Dragon Demon Beast Jaw Shield
s_146_name,蒼雷霊珠の魔杖,Azure Thunder Spirit Orb Magic Staff
s_147_name,骸王紫晶の呪盾,Bone King Violet Crystal Curse Shield
s_148_name,焔鎖刃の処刑鞭,Flame Chain Blade Execution Whip
s_149_name,毒霧灯の獣脚,Poison Mist Lantern Beast Greaves
s_150_name,冥竜騎士の魔脚甲,Nether Dragon Knight Demon Greaves
s_151_name,エレメンタル・ドミニオン,Elemental Dominion
s_152_name,骸鉄融蝕の断罪鶴嘴,Judgment Pickaxe of Corroded Bone Iron
s_153_name,朽灯坑夫の呪縛兜,Cursed Helm of the Fading Miner
s_154_name,崩岩縛鎖の巨塊鎧,Colossal Chainplate of Collapsing Stone
s_155_name,屑鉄漂界の断片盾,Scrap Fragment Shield of the Rusted Realm
s_156_name,煤闇揺界の幽環,Phantom Ring of the Sooted Abyss
s_157_name,晶骨王の蒼鉱手甲,Azure Ore Gauntlets of the Crystal Bone King
s_158_name,苔濁の滴剣ヴェルディクス,Verdix Dripblade of the Moss Mire
s_159_name,腐潮骸盾グラームシェル,Grave Tide Shield Graamshell
s_160_name,深淵湿衣ネクロミスト,Necromist Robe of the Sunken Depths
s_161_name,沼鱗重殻アルガロア,Swampscale Carapace Algaroa
s_162_name,水脈封環リヴィエラ,Riverseal Ring Riviera
s_163_name,苔核の冥雫ペンダント・モルヴァ,Molvah Pendant of the Moss Core
s_164_name,墓穿ちの断剣,Gravepiercer Blade
s_165_name,屍鎧グレイブプレート,Graveplate Armor
s_166_name,骸環ブルーリヒト,Bluelicht Bone Ring
s_167_name,墓砕きの巨剣,Gravebreaker Greatsword
s_168_name,幽衣ミストヴェール,Mistveil Phantom Cloak
s_169_name,冥灯ペンダント,Pendant of Netherlight
s_170_name,落殻の岩盾,Falling Crag Shield
s_171_name,洞鎧グラベルメイル,Gravelmail Cavern Armor
s_172_name,翠核の鉱石環,Verdant Core Ore Ring
s_173_name,穿岩ドリルランス,Drill Lance of the Piercing Stone
s_174_name,岩甲ビートルガード,Beetle Guard Carapace
s_175_name,深翠の結晶佩玉,Deep Verdant Crystal Charm
s_176_name,燼尾の焔刃,Cinder Tail Flameblade
s_177_name,溶心核鎧,Molten Core Armor
s_178_name,赤骸炎剣,Redbone Flame Sword
s_179_name,熔鱗重甲,Magma Scale Heavy Armor
s_180_name,灰翼冥晶,Ashwing Nether Crystal
s_181_name,灼界竜珠,Inferno Dragon Orb
s_182_name,氷晶牙剣,Frostfang Crystal Blade
s_183_name,凍骨霜鎧,Frozen Bone Frost Armor
s_184_name,白銀狼套,Silverwolf Mantle
s_185_name,氷翼の護符,Icewing Talisman
s_186_name,霜巨の氷甲,Frost Giant Iceplate
s_187_name,氷王核の指輪,Ring of the Frost King Core
s_188_name,風刃剣アルティア,Windblade Altia
s_189_name,峡影の軽鎧,Canyon Shadow Light Armor
s_190_name,揺風核ロッド,Windsway Core Rod
s_191_name,断崖跳躍具,Cliffjumper Gear
s_192_name,空裂蒼環,Skytear Azure Ring
s_193_name,嵐牙マント,Stormfang Mantle
s_194_name,蒼雷滴剣,Azure Thunder Dripblade
s_195_name,雷骸鎧,Thunderbone Armor
s_196_name,黒爪電核,Blackclaw Thunder Core
s_197_name,雷殻重盾,Thunder Shell Greatshield
s_198_name,蒼翼雷装,Azurewing Thunder Gear
s_199_name,雷晶双環,Twin Thunder Crystal Rings
s_200_name,崩砂の曲刀,Sandfall Curved Blade
s_201_name,煌甲スカラベ盾,Scarab Radiant Shield
s_202_name,蛇牙の呪刃,Serpent Fang Cursed Blade
s_203_name,古碑の断鎚,Ancient Monolith Warhammer
s_204_name,流砂の纏布,Quicksand Cloak
s_205_name,王墓双月剣,Twin Moon Pharaoh Blades
s_206_name,腐胞砕鎚,Rotspore Crusher
s_207_name,朽骸の踏鎧,Decayed Bone Greaves
s_208_name,碧毒牙剣,Venomfang Blade
s_209_name,腐森纏衣,Blightforest Cloak
s_210_name,紫瘴王冠,Violet Miasma Crown
s_211_name,瘴環の呪輪,Cursed Miasma Ring
s_212_name,呪刻断刃,Runecut Cleaver
s_213_name,暴牙魔典,Rampant Grimoire Fang
s_214_name,黒滴核衣,Blackdrop Core Robe
s_215_name,書殻重腕,Tomeplate Gauntlets
s_216_name,詠環霊鎖,Chanting Spirit Chain
s_217_name,禁典蒼杖,Forbidden Codex Staff
s_218_name,骸影の縫刃,Shadowbone Stitchblade
s_219_name,揺影の悪戯環,Trickster Ring of the Shifting Shade
s_220_name,吸光の冥装,Lightdrain Nether Armor
s_221_name,残影牙鎖,Afterimage Fang Chain
s_222_name,幽幕の黒灯,Blackveil Spirit Lantern
s_223_name,縫影王の断章外套,Shadow King Fragment Mantle
s_224_name,反転骸刃,Reversed Bone Blade
s_225_name,増映核珠,Echoing Mirror Core Orb
s_226_name,鏡殻装甲,Mirror Shell Armor
s_227_name,虚影双刃,Phantom Twin Blades
s_228_name,砕鏡霊環,Shattered Mirror Spirit Ring
s_229_name,万象反射外套,Omnireflection Cloak
s_230_name,紅穿,Crimson Piercer
s_231_name,供儀核,Sacrificial Core
s_232_name,血滴王冠,Blooddrop Crown
s_233_name,狂信刃,Fanatic Blade
s_234_name,赤晶巨殻,Red Crystal Colossus Carapace
s_235_name,血王核環,Blood King Core Ring
s_236_name,光膜剣アウラブレイド,Aurablade of the Radiant Veil
s_237_name,透界核の流動コア,Flowing Core of the Translucent Realm
s_238_name,深紫魔装ヴァイオレットレガリア,Violet Regalia of the Deep Arcane
s_239_name,盾殻ガーディアンシェル,Guardian Shell Bulwark
s_240_name,紋章霊環エーテルリング,Ether Ring of the Sigil Spirit
s_241_name,結界機関プロテクシオン・ハート,Protection Heart Barrier Engine
s_242_name,時裂きの偏位鎌,Chronosplit Deviant Scythe
s_243_name,瞬閃双牙,Flashfang Twin Blades
s_244_name,停滞の粘晶鎧,Stagnant Crystal Slime Armor
s_245_name,砂環の喰刻外套,Time Eater Cloak of the Sand Ring
s_246_name,盤環の歪光環,Distorted Halo of the Clock Ring
s_247_name,王刻の崩天核,Cataclysm Core of the Time King
s_248_name,星骸鎧,Starbone Armor
s_249_name,星泡核,Starlight Core Orb
s_250_name,黒星魔刃,Blackstar Sorcery Blade
s_251_name,歪殻盾,Warp Shell Shield
s_252_name,流星環,Meteor Ring
s_253_name,星喰大剣,Star Devourer Greatsword
s_254_name,刻印処刑剣・ボーンエグゼキューター,Bone Executor Engraved Execution Blade
s_255_name,隷属の紅鎖首輪,Crimson Chain Collar of Subjugation
s_256_name,紋章核の流転珠,Sigil Core Orb of the Endless Cycle
s_257_name,闘技石壁の巨装甲,Colosseum Stonewall Colossal Armor
s_258_name,誓文渦巻の霊杖,Oathswirl Spirit Staff
s_259_name,万契王衣アウス・レガリア,Aus Regalia Mantle of the Pact King
s_260_name,輪廻断刃・リフレインエッジ,Refrain Edge Blade of Reincarnation
s_261_name,再生核ドロームハート,Dromeheart Regeneration Core
s_262_name,反響魔翼ジャグルル,Jaglur Echoing Demon Wings
s_263_name,環殻穿槍インセクトゥス,Insectus Carapace Piercer
s_264_name,無窮霊環シグマリア,Sigmaria Infinite Spirit Ring
s_265_name,永劫王冠インフィニクス,Infinix Eternal Crown
s_266_name,骸継の異骨大剣,Aberrant Bone Greatsword
s_267_name,過装裂火の魔導銃装,Overloaded Flame Arcane Gunblade
s_268_name,融蝕核の暴液指輪,Corrosion Core Liquid Ring
s_269_name,砲城堅殻の要塞胸甲,Fortress Carapace Siegeplate
s_270_name,滅灯の紅冥浮珠,Crimson Nether Orb of Extinction
s_271_name,終塞皇の巨滅斬,Cataclysm Blade of the Final Bastion
s_272_name,冥骸断鎌グロームサイズ,Gloomscythe of the Netherbone
s_273_name,侵蝕核メルティアローブ,Meltia Corrosion Core Robe
s_274_name,妖闇眼冠ノクスリム,Noxrim Crown of the Abyssal Eye
s_275_name,腐殻装甲グラディウスシェル,Gladius Shell Corrupted Armor
s_276_name,渦影霊珠ヴォイドオーブ,Void Orb of the Spiral Shade
s_277_name,深淵王笏アビスレガリア,Abyss Regalia Scepter
s_278_name,虚骨の無彩剣,Colorless Bone Blade
s_279_name,零透核の虚溶槍,Voidmelt Spear of the Null Core
s_280_name,無響の影裂衣,Silent Shadow Ripper Cloak
s_281_name,曖昧境界の虚鎧,Ambiguous Voidplate Armor
s_282_name,空白燐光の淡環,Pale Ring of the Blank Phosphor
s_283_name,無面統制の虚監環,Nullwarden Ring of Faceless Control
s_284_name,黒骨の戦骸剣,Warbone Blackblade
s_285_name,屍兵乱舞の魔刃具,Undead Legion Arcane Weapon
s_286_name,流刃の黒晶胸鎧,Blackcrystal Chestplate of the Flowing Blade
s_287_name,尖角甲殻の戦兜,War Helm of the Spiked Carapace
s_288_name,血霞の怨環,Bloodmist Vengeful Ring
s_289_name,黒曜覇将の統冠,Obsidian Warlord Crown
s_290_name,神骸断剣グロリアス・リブ,Glorious Rib Divine Bonebreaker
s_291_name,聖融核オルビス・ゼリオス,Orbis Zelios Divine Core
s_292_name,熾天輪装アルカ・ミニストラ,Arca Ministra Seraphic Halo Armor
s_293_name,神殻巨装ヘリオ・フラグメント,Helio Fragment Divine Shell Armor
s_294_name,白金霊環ルミナ・アウラ,Lumina Aura Platinum Spirit Ring
s_295_name,堕神覇剣レムナント・エクスシア,Remnant Exsia Fallen God Blade
s_296_name,万彩骸刃カオスリーパー,Chaos Reaper Prism Bone Blade
s_297_name,流転核スライムオーブ,Slime Orb of Eternal Flux
s_298_name,歪曲魔刃ディストーションダガー,Distortion Dagger
s_299_name,崩星重殻カタストブレスト,Catastrophe Breastplate
s_300_name,虚滅霊環アポカリプスリング,Apocalypse Spirit Ring
s_301_name,終焉覇鱗エンドラグナアーマー,Endragna Armor of the Final Dragon
s_302_name,虚界断裂剣,Void Riftbreaker
