ネームキー,名前(日本語),名前(英語)
skill_18_name,炎鱗獣の狩り,Hunt of the Flame-Scale Beast
Skill_18_des,敵を撃破時、40％の確率で装備のドロップ判定が2回行われる。,When an enemy is defeated there is a 40% chance that the equipment drop check occurs twice.
skill_19_name,討伐報酬：17メダル,Bounty Reward: 17 Medals
Skill_19_des,敵を撃破時、10％の確率でメダルが17枚排出される。,When an enemy is defeated there is a 10% chance to spawn 15 medals.
skill_20_name,金貨王の選別,Selection of the Coin King
Skill_20_des,敵を撃破時、40％の確率で称号のドロップ判定が2回行われる。,When an enemy is defeated there is a 40% chance that the title drop check occurs twice.
skill_21_name,ダークボールメダル,Dark Ball Medal
Skill_21_des,メダル発射時、1％の確率でダークボールメダルが発射される。\nこのメダルを獲得するとダークボールが発動する。\n威力530％×クリティカルダメージ倍率,When firing a medal there is a 1% chance to fire a Dark Ball Medal. Collecting this medal activates Dark Ball. Power: 530% × Critical Damage Multiplier.
skill_22_name,討伐報酬：20メダル,Bounty Reward: 20 Medals
Skill_22_des,敵を撃破時、10％の確率でメダルが20枚排出される。,When an enemy is defeated there is a 10% chance to spawn 20 medals.
skill_23_name,蒼光騎士の遺志,Will of the Azure Light Knight
Skill_23_des,1秒毎に20％の確率でメダルが排出される。,Every second there is a 20% chance to spawn medals.
skill_24_name,掠奪王の掠奪,Plunder of the Raid King
Skill_24_des,敵を撃破時、20％の確率で装備のドロップ判定が3回行われる。,When an enemy is defeated there is a 20% chance that the equipment drop check occurs three times.
skill_25_name,討伐報酬：22メダル,Bounty Reward: 22 Medals
Skill_25_des,敵を撃破時、10％の確率でメダルが22枚排出される。,When an enemy is defeated there is a 10% chance to spawn 22 medals.
skill_26_name,アースクエイクメダル,Earthquake Medal
Skill_26_des,メダル発射時、1％の確率でアースクエイクメダルが発射される。\nこのメダルを獲得するとアースクエイクが発動する。\n威力170％×クリティカルダメージ倍率,When firing a medal there is a 1% chance to fire an Earthquake Medal. Collecting this medal activates Earthquake. Power: 170% × Critical Damage Multiplier.
skill_27_name,妖花喰いの恩恵,Blessing of the Flower Devourer
Skill_27_des,3ウェーブ毎に、20％の確率で攻撃力が1.5％上昇する,Every 3 waves there is a 20% chance to increase Attack Power by 1.5%.
skill_28_name,討伐報酬：25メダル,Bounty Reward: 25 Medals
Skill_28_des,敵を撃破時、10％の確率でメダルが25枚排出される。,When an enemy is defeated there is a 10% chance to spawn 25 medals.
skill_29_name,ライトニングメダル,Lightning Medal
Skill_29_des,メダル発射時、1％の確率でライトニングメダルが発射される。\nこのメダルを獲得するとアースクエイクが発動する。\n威力100％×クリティカルダメージ倍率,When firing a medal there is a 1% chance to fire a Lightning Medal. Collecting this medal activates Lightning. Power: 100% × Critical Damage Multiplier.
skill_30_name,蒼雷星盾の加護,Blessing of the Azure Thunder Star Shield
Skill_30_des,ウェーブ開始時、10％の確率でメダルが30枚排出される,At the start of a wave there is a 10% chance to spawn 30 medals.
skill_31_name,討伐報酬：30メダル,Bounty Reward: 30 Medals
Skill_31_des,敵を撃破時、10％の確率でメダルが30枚排出される。,When an enemy is defeated there is a 10% chance to spawn 30 medals.
skill_32_name,双竜盗歯,Twin Dragon Fang Thief
Skill_32_des,敵を撃破時、30％の確率で装備のドロップ判定が3回行われる。,When an enemy is defeated there is a 30% chance that the equipment drop check occurs three times.
skill_33_name,翠雷獣王の特権,Privilege of the Emerald Thunder Beast King
Skill_33_des,敵を撃破時、30％の確率で称号のドロップ判定が4回行われる。,When an enemy is defeated there is a 30% chance that the title drop check occurs four times.
skill_34_name,冥竜の加護,Protection of the Nether Dragon
Skill_34_des,ウェーブ開始時に、20％の確率で攻撃力が1％上昇する,At the start of a wave there is a 20% chance to increase Attack Power by 1%.
