ネームキー,名前(日本語),名前(英語)
sy_37_name,秘奥を識る者,Seeker of Hidden Mysteries
sy_38_name,黒森の妖婦,Witch of the Black Forest
sy_39_name,双星の魔姉妹,Twin-Star Demon Sisters
sy_40_name,蒼天の魔導王,Sorcerer King of the Azure Sky
sy_41_name,大賢者の系譜,Heir of the Great Sage
sy_42_name,魔術学院の首席,Top Student of the Arcane Academy
sy_43_name,岩鋼の騎士,Knight of Rock and Steel
sy_44_name,灼熱の巨神,Scorching Colossus
sy_45_name,蒼焔の魔躯,Azure Flame Demon Body
sy_46_name,呪土の偶像,Idol of Cursed Earth
sy_47_name,蒼重力の支配者,Ruler of Azure Gravity
sy_48_name,裂岩の猛将,Riftrock Warlord
sy_49_name,守護岩壁,Guardian Stonewall
sy_50_name,銀鉄の巨兵,Silversteel Giant Soldier
sy_51_name,黄金機神,Golden Machine God
sy_52_name,銀光の希少種,Rare Silver Radiance
sy_53_name,星砕きの巨像,Star-Shattering Colossus
sy_54_name,砕石の暴君,Tyrant of Crushed Stone
sy_55_name,炎鱗の蜥蜴,Flame-Scaled Lizard
sy_56_name,独眼の巨槌,One-Eyed Giant Hammer
sy_57_name,鋼心の守護巨人,Steel-Hearted Guardian Titan
sy_58_name,戦禍の独眼王,One-Eyed King of War
sy_59_name,大地の神拳,Earth’s Divine Fist
sy_60_name,煌炎の獄騎士,Radiant Inferno Knight
sy_61_name,造岩の工匠,Stoneforging Artisan
sy_62_name,深海を統べる蒼姫,Azure Princess Who Rules the Deep
sy_63_name,水律の調停者,Arbiter of Water’s Law
sy_64_name,翠森の射手,Emerald Forest Archer
sy_65_name,拒絶の要塞獣,Fortress Beast of Rejection
sy_66_name,獄炎機装,Inferno Mechanical Armament
sy_67_name,火精の眷属,Kin of the Fire Spirit
sy_68_name,紅天の暴帝,Crimson Sky Tyrant
sy_69_name,古紅竜の伝説,Legend of the Ancient Red Dragon
sy_70_name,焔王の化身,Avatar of the Flame King
sy_71_name,地獄鉄の竜,Helliron Dragon
sy_72_name,粘界の大公,Grand Duke of the Slime Realm
sy_73_name,水路の略奪者,Canal Raider
sy_74_name,激流の操舟鬼,Demon Oarsman of the Rapids
sy_75_name,深淵の裂牙,Abyss-Cleaving Fang
sy_76_name,蒼海の終極獣,Final Beast of the Azure Sea
sy_77_name,海神の眷属,Servant of the Sea God
sy_78_name,深海王の咆哮,Roar of the Deep Sea King
sy_79_name,血追いの追跡者,Blood-Tracking Pursuer
sy_80_name,夢光の小妖精,Dreamlight Fairy
sy_81_name,老練なる策謀者,Seasoned Mastermind
sy_82_name,蒼鱗の戦姫,Azure-Scaled War Princess
sy_83_name,牙角の猛将,Fang-Horn Warlord
sy_84_name,狼帝の眷属,Servant of the Wolf Emperor
sy_85_name,胞子の捕食花,Spore-Eating Predator Flower
sy_86_name,黄金の奇跡,Golden Miracle
sy_87_name,粘界の王冠,Crown of the Slime Realm
sy_88_name,溶融する王泥,Molten King Sludge
sy_89_name,鉄泥の支配者,Ruler of Iron Mud
sy_90_name,光滴の幻獣,Phantom Beast of Light Drops
sy_91_name,死鎌の狩人,Death Scythe Hunter
sy_92_name,角鎧の猛虫,Horn-Armored Savage Insect
sy_93_name,百脚の恐怖,Terror of a Hundred Legs
sy_94_name,毒剣の女王蜂,Venomblade Queen Wasp
sy_95_name,獄炎の甲虫王,Inferno Beetle King
sy_96_name,光幻の妖影,Fairy Shadow of Light Illusion
sy_97_name,終末の核,Core of Apocalypse
sy_98_name,終端機神王,Terminal Machine God King
sy_99_name,暴走する地獄炉,Runaway Hell Furnace
sy_100_name,蒼嵐の渦王,Azure Storm Vortex King
sy_101_name,機鋼の巨神,Steel Machine Titan
sy_102_name,聖弧の熾天使,Blazing Seraph of the Sacred Arc
sy_103_name,荒野の牙兵,Fang Soldier of the Wasteland
sy_104_name,戦歌の蛮勇,Savage Valor of War Song
sy_105_name,血塗れの巨漢,Bloodstained Giant
sy_106_name,黄金を喰らう者,Devourer of Gold
sy_107_name,戦宴の魔将,Demon General of War Feast
sy_108_name,呪書の主,Master of the Cursed Tome
sy_109_name,光穴の這い虫,Crawling Worm of the Light Hollow
sy_110_name,洞窟の毒糸,Venom Thread of the Cave
sy_111_name,冥坑の労働霊,Labor Spirit of the Nether Mine
sy_112_name,菌翼の小竜,Fungal-Winged Drake
sy_113_name,地脈の竜王,Dragon King of the Earth Veins
sy_114_name,深淵の黒竜,Abyssal Black Dragon
sy_115_name,翠花の守り手,Guardian of Emerald Blossoms
sy_116_name,霊樹の歌姫,Songstress of the Spirit Tree
sy_117_name,毒宴の蜘蛛姫,Spider Princess of Poison Feast
sy_118_name,砂嵐の魔獣,Sandstorm Demon Beast
sy_119_name,暴風の巨翼,Colossal Wing of the Tempest
sy_120_name,生命を啜る影,Shadow that Drinks Life
sy_121_name,蒼空の黒翼,Black Wing of the Azure Sky
sy_122_name,裂風の猛禽,Riftwind Raptor
sy_123_name,骨啄む死鳥,Bone-Pecking Deathbird
sy_124_name,妖歌の翼女,Winged Siren of Bewitching Song
sy_125_name,雷嵐の王鳥,King Bird of Thunderstorm
sy_126_name,天翔ける覇鳥,Skyborne Overlord Bird
sy_127_name,魔覇の鬼神,Demon God of Dark Supremacy
sy_128_name,機械王の咆哮,Roar of the Machine King
sy_129_name,黒鋼の破壊者,Blacksteel Destroyer
sy_130_name,灼熱岩の王,King of Scorching Rock
sy_131_name,貪欲なる溶岩王,Greedy Lava King
sy_132_name,雷牙の覇王,Overlord of Thunder Fangs
sy_133_name,漆黒の毒母,Jet-Black Venom Mother
sy_134_name,死霊王の秘宝,Secret Treasure of the Lich King
sy_135_name,冥竜の咆哮,Roar of the Nether Dragon
sy_136_name,魔獄の大君,Archlord of the Demon Prison
sy_137_name,血槌の猛牛王,Bloodhammer Minotaur King
sy_138_name,蒼蛇の災厄,Calamity of the Azure Serpent
sy_139_name,灼泥の地龍,Scorch Mud Earth Dragon
sy_140_name,氷葬の鎮魂歌,Requiem of Frozen Burial
sy_141_name,獄炎の暴将,Inferno Warlord of Destruction
sy_142_name,冥砂の巨象神,Nether Sand Colossal Elephant God
sy_143_name,夜王の化身,Avatar of the Night King
sy_144_name,冥騎士団長,Commander of the Nether Knights
sy_145_name,翠災の終末,Emerald Cataclysm of Doom
sy_146_name,深海の静謐姫,Silent Princess of the Deep Sea
sy_147_name,骸骨の覇王,Skeleton Overlord
sy_148_name,堕天の魔華,Fallen Demon Flower
sy_149_name,屠殺の巨鬼,Butcher Giant Ogre
sy_150_name,虚無の暴王,Void Tyrant
sy_151_name,万象を束ねし終焉の原初竜,The Primordial End Dragon Who Binds All Creation
sy_100000_name,境界を踏み越えし者,One Who Crossed the Boundary
sy_100001_name,まだ折れていない者,Still Unbroken
sy_100002_name,還れぬ深層への一歩,The First Step into the Abyss
sy_100003_name,狂気を飲み干す者,Devourer of Madness
sy_100004_name,千層を越えた代償,The Price of a Thousand Layers
sy_100005_name,終わりを拒む意志,The Will That Rejects the End
sy_100006_name,深層に馴染みし肉体,A Body Adapted to the Deep
sy_100007_name,歪みを肯定する選択,The Choice to Embrace Distortion
sy_100008_name,破壊に順応せし魂,A Soul Tempered by Destruction
sy_100009_name,削れゆく未来,A Future Slowly Shaved Away
sy_100010_name,死線に笑う者,One Who Laughs at the Edge of Death
sy_100011_name,失うことを選んだ者,The One Who Chose to Lose
sy_100012_name,力と引き換えの誓約,A Pact Exchanged for Power
sy_100013_name,痛みを力に変える者,Pain Turned into Strength
sy_100014_name,壊れてなお進む者,"Still Advancing, Though Broken"
sy_100015_name,計算を捨てた破壊衝動,Uncalculated Destructive Impulse
sy_100016_name,生存のみを望む存在,An Existence That Seeks Only Survival
sy_100017_name,限界を踏み潰す意志,A Will That Crushes Its Limits
sy_100018_name,報われぬ代償論,The Theory of an Unrewarded Price
sy_100019_name,終わりなき殺戮衝動,Endless Slaughter Impulse
sy_100020_name,均衡を壊す者,The One Who Breaks the Balance
sy_100021_name,終焉を拒絶する理,The Law That Denies Oblivion
sy_100022_name,世界法則への反逆,Rebel Against the Laws of the World
sy_100023_name,勝利以外を忘れた存在,An Existence That Forgot Everything but Victory
sy_100024_name,深層そのもの,The Deep Itself
